track_id,title,song_id,release,artist_id,artist_name,year,duration,artist_hotttnesss,artist_familiarity,latitude,longitude,name,city,revgeocode
TRXJANY128F42246FC,Lonely Island,SODESQP12A6D4F98EF,The Duke Of Earl,ARYBUAO1187FB3F4EB,Gene Chandler,2004,106.55302,0.393762698987,0.570016702885,41.88415,-87.63241,Gene Chandler,"Chicago, IL","125 N LaSalle St, Chicago, IL 60602, USA"
TRIKPCA128F424A553,Here's That Rainy Day,SOQUYQD12A8C131619,Imprompture,AR4111G1187B9B58AB,Paul Horn,1998,527.59465,0.430622621858,0.503993974931,40.71455,-74.00712,Paul Horn,"New York, NY","85 Chambers St, New York, NY 10007, USA"
TRBYYXH128F4264585,Games,SOPIOCP12A8C13A322,Afro-Harping,AR75GYU1187B9AE47A,Dorothy Ashby,1968,237.322,0.410752048849,0.530346783927,42.33168,-83.04792,Dorothy Ashby,"Detroit, MI","76 Michigan Ave, Detroit, MI 48226, USA"
TRKFFKR128F9303AE3,More Pipes,SOHQSPY12AB0181325,Six Yanks,ARCENE01187B9AF929,Barleyjuice,2006,192.93995,0.3762635263,0.541295002234,40.99471,-77.60454,Barleyjuice,Pennsylvania,"Z. H. Confair Memorial Hwy, Howard, PA 16841, USA"
TRWKTVW12903CE5ACF,Indian Deli,SOGYBYQ12AB0188586,Beat Konducta Vol. 3 & 4: In India,AR17D2T1187FB4DBC2,Madlib,2007,107.78077,0.533973158094,0.764026335274,34.20034,-119.18044,Madlib,"Oxnard, CA","328 W 3rd St, Oxnard, CA 93030, USA"
TRUWFXF128E0795D22,Miss Gorgeous,SOTEIQB12A6702048D,Music Monks,ARDNZL61187B98F42D,Seeed's Pharaoh Riddim Feat. General Degree,2003,195.97016,0.480061156343,0.308673846767,50.7323,7.10169,Seeed feat. Elephant Man,Bonn,"Regina-Pacis-Weg 1, 53113 Bonn, Germany"
TRYKVFW128F4243264,Lahainaluna,SOUZVTG12A8C1308FB,Ke'alaokamaile,ARR9RE51187B98E899,Keali'i Reichel,2003,245.73342,0.364058620438,0.56497169409,19.59009,-155.43414,Keali I Reichel,Hawaii,"Unnamed Road, Hawaii, USA"
TRUNSOU12903CC52BD,The Ingenue (LP Version),SOJESNI12AB0186408,Representing The Mambo,AR6W5MS1187FB3BF47,Little Feat,1989,263.96689,0.479187492236,0.674918816108,34.05349,-118.24532,Little Feat,"Los Angeles, CA","1st St & Broadway (Eastbound), Los Angeles, CA 90012, USA"
TRBNFTT128F92FB599,The Unquiet Grave (Child No. 78),SOTSNHW12AB0182A9D,5,AR60ODO1187FB4D9AB,Joan Baez,1964,261.40689,0.455289243597,0.732261286176,40.5725,-74.154,Joan Baez,"Staten Island, NY","215 Arthur Kill Rd, Staten Island, NY 10306, USA"
TREGTHP128F4286994,The Breaks,SORKAVQ12A8C137E9C,Worried Well,ARRGWDC1187FB3E63B,31Knots,2008,212.45342,0.399319439199,0.619990609793,45.51179,-122.67563,31Knots,"Portland, OR","1501 SW Naito Pkwy, Portland, OR 97201, USA"
